Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Eastchester,40.887555677350775,-73.82780644716412,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Chipotle Mexican Grill,40.88456619551229,-73.9004737612446,Mexican Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Tilila,40.88387242577101,-73.89820853750416,Bar
Kingsbridge,40.88168737120521,-73.90281798724604,The Local,40.87855275865213,-73.90346176628925,Bar
Kingsbridge,40.88168737120521,-73.90281798724604,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Dunkin',40.87929565446632,-73.90513513194202,Café
Kingsbridge,40.88168737120521,-73.90281798724604,Gold Mine Cafe,40.87891576866267,-73.90469763627074,Café
Kingsbridge,40.88168737120521,-73.90281798724604,Mr. McGoo's,40.87941944187052,-73.90424277141844,Bar
Woodlawn,40.89827261213805,-73.86731496814176,Behan's Pub,40.89858450390552,-73.86750725480708,Bar
Norwood,40.87722415599446,-73.8793907395681,Queen of Tacos,40.8802,-73.883434,Mexican Restaurant
Williamsbridge,40.88103887819211,-73.85744642974207,Cue Lounge,40.884163389332585,-73.8564844261784,Bar
Baychester,40.866858107252696,-73.83579759808117,Moe's Southwest Grill,40.86631,-73.83032,Mexican Restaurant
Pelham Parkway,40.85741349808865,-73.85475564017999,Kiraku Hibachi & Sushi,40.853356006929786,-73.85362862246855,Sushi Restaurant
City Island,40.84724670491813,-73.78648845267413,Crab Shanty,40.84880668044417,-73.78721145699679,Seafood Restaurant
City Island,40.84724670491813,-73.78648845267413,The Snug,40.84719881133644,-73.78646581041706,Bar
City Island,40.84724670491813,-73.78648845267413,Seafood City,40.85096727524957,-73.7897782218804,Seafood Restaurant
Bedford Park,40.870185164975325,-73.8855121841913,OK Mr. Pancho,40.867343,-73.883963,Mexican Restaurant
Bedford Park,40.870185164975325,-73.8855121841913,Lena Restaurant,40.86983998935334,-73.89046709970651,Mexican Restaurant
Bedford Park,40.870185164975325,-73.8855121841913,Las Maravillas De Mexico,40.87313535316203,-73.88901886539281,Mexican Restaurant
Fordham,40.86099679638654,-73.89642655981623,Primavera Cafe,40.86200374119285,-73.89153741654775,Café
East Tremont,40.84269615786053,-73.88735617532338,North Star Cafe,40.84333558876738,-73.88698194733944,Café
High  Bridge,40.836623010706056,-73.9261020935813,El Tina,40.83868646276654,-73.92967028289803,Seafood Restaurant
Melrose,40.819754370594936,-73.90942160757436,Cinco de Mayo,40.82267438620963,-73.9115917352008,Mexican Restaurant
Port Morris,40.801663627756206,-73.91322139386135,Bronx Tavern,40.800512,-73.913513,Bar
Longwood,40.81509904545822,-73.8957882009446,Real Azteca Restaurant,40.81525226803688,-73.89402465895539,Mexican Restaurant
Hunts Point,40.80972987938709,-73.88331505955291,City Tamale Inc,40.8102546,-73.8846809,Mexican Restaurant
Hunts Point,40.80972987938709,-73.88331505955291,the point cafe & grill,40.809757377602175,-73.88073013708618,Café
Morrisania,40.82359198585534,-73.90150648943059,Fish N Chips,40.822777,-73.90254300000001,Seafood Restaurant
Throgs Neck,40.81510925804005,-73.81635002158441,Tosca Café,40.819204436132736,-73.81746681637895,Bar
Parkchester,40.837937822267286,-73.85600310535783,Taqueria Tlaxcali,40.83609833012624,-73.85494781241097,Mexican Restaurant
Westchester Square,40.8406194964327,-73.84219407604444,Estrellita Poblana IV,40.842072240941214,-73.84404435344297,Mexican Restaurant
Westchester Square,40.8406194964327,-73.84219407604444,Legacy Bar,40.84178312211722,-73.84340328012033,Bar
Westchester Square,40.8406194964327,-73.84219407604444,Chipotle Mexican Grill,40.84142107526162,-73.84374093606944,Mexican Restaurant
Morris Park,40.847549063536334,-73.85040178030421,Doyle's Pub,40.84846317892645,-73.855371226226,Bar
Belmont,40.85727710073895,-73.88845196134804,Estrellita Poblana,40.85400959882801,-73.88892348848158,Mexican Restaurant
Belmont,40.85727710073895,-73.88845196134804,The Bronx Beer Hall,40.854197571164775,-73.88823312783984,Bar
Belmont,40.85727710073895,-73.88845196134804,Prince Coffee House,40.85358840710895,-73.88912213488182,Café
Belmont,40.85727710073895,-73.88845196134804,Mugz,40.857309011647914,-73.88597845458973,Bar
Belmont,40.85727710073895,-73.88845196134804,Howl At The Moon,40.857572927824215,-73.88644395048595,Piano Bar
Belmont,40.85727710073895,-73.88845196134804,Chipotle Mexican Grill,40.86033458808209,-73.89050734400826,Mexican Restaurant
North Riverdale,40.90854282950666,-73.90453054908927,Carlos & Gabby's - Riverdale,40.906566049541226,-73.90439723485366,Mexican Restaurant
North Riverdale,40.90854282950666,-73.90453054908927,Tokyo House,40.90567203906053,-73.90430870547758,Sushi Restaurant
Pelham Bay,40.85064140940335,-73.8320737824047,Mexico Magico Restaurant,40.84665466644338,-73.83207247777908,Mexican Restaurant
Schuylerville,40.82657951686922,-73.82620275994073,Brewski's Bar & Grill,40.82664104244332,-73.82248599450232,Bar
Schuylerville,40.82657951686922,-73.82620275994073,Cabo,40.825959684250584,-73.82135166456302,Mexican Restaurant
Schuylerville,40.82657951686922,-73.82620275994073,Taqueria Lupita,40.829202506332805,-73.8268924774988,Mexican Restaurant
Edgewater Park,40.821986118163494,-73.81388514428619,Tosca Café,40.819204436132736,-73.81746681637895,Bar
Unionport,40.82977429787161,-73.85053524451935,Marisco Centro Seafood Restaurant,40.83144,-73.850593,Seafood Restaurant
Concourse Village,40.824780490842905,-73.91584652759009,Chipotle Mexican Grill,40.8258905,-73.9195343,Mexican Restaurant
Concourse Village,40.824780490842905,-73.91584652759009,Lupita's Restaurant,40.824613,-73.91335,Mexican Restaurant
Concourse Village,40.824780490842905,-73.91584652759009,Cinco de Mayo,40.82267438620963,-73.9115917352008,Mexican Restaurant
Mount Eden,40.84382617671654,-73.91655551964419,Suyo Gastrofusion,40.840278,-73.918101,Bar
Mount Eden,40.84382617671654,-73.91655551964419,Grand Cafe At Bronx Lebanon Hospital,40.843547627481726,-73.91167053403284,Café
Bronxdale,40.85272297633017,-73.86172577555115,El Acatlan,40.85426,-73.866223,Mexican Restaurant
Allerton,40.86578787802982,-73.85931863221647,Tulcimex,40.864808000000004,-73.863795,Mexican Restaurant
Kingsbridge Heights,40.8703923914147,-73.90152264513144,Montezuma Mexican Restaurant,40.868587693262356,-73.9021044340439,Mexican Restaurant
Kingsbridge Heights,40.8703923914147,-73.90152264513144,La Catrina,40.86995978194631,-73.9039558462761,Mexican Restaurant
Kingsbridge Heights,40.8703923914147,-73.90152264513144,Carman Cafe,40.87115899416498,-73.89676152898618,Café
