Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
Chinatown,40.71561842231432,-73.99427936255978,Bar Belly,40.71513492837161,-73.99180174375184,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Reception Bar,40.7163598,-73.9913564,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Factory Tamal,40.71587612490716,-73.99046733643608,Mexican Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Apothéke,40.71446997055456,-73.99801834428807,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Skin Contact,40.717746,-73.990365,Wine Bar
Chinatown,40.71561842231432,-73.99427936255978,Las’ Lap,40.717690463104404,-73.99043516357852,Bar
Chinatown,40.71561842231432,-73.99427936255978,Peachy's,40.71445204430717,-73.99799106067414,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Mexican Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Mr. Fong's,40.71234870755251,-73.99429476756772,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,The Ten Bells,40.71801976652443,-73.9897522330284,Wine Bar
Washington Heights,40.85190252555305,-73.93690027985234,Green Juice Cafe,40.85189793238417,-73.93482699423339,Café
Washington Heights,40.85190252555305,-73.93690027985234,Altus Cafe,40.85228382654352,-73.93469335780611,Café
Washington Heights,40.85190252555305,-73.93690027985234,Le Chéile,40.85145903601843,-73.93998920917511,Café
Washington Heights,40.85190252555305,-73.93690027985234,Buunni Coffee,40.85519403267616,-73.9377173781395,Café
Washington Heights,40.85190252555305,-73.93690027985234,Monkey Room,40.854976932654424,-73.93704592998373,Bar
Washington Heights,40.85190252555305,-73.93690027985234,Sushi Yu II,40.8512546772285,-73.93965198989514,Sushi Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Marisco Centro (Seafood Restaurant & Fish Market),40.85133231436476,-73.9318637321785,Seafood Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Scoop Cafe,40.849988223249156,-73.93539645226812,Café
Washington Heights,40.85190252555305,-73.93690027985234,Refried Beans Mexican Restaurant,40.85503858399724,-73.93703107149052,Mexican Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Pick and Eat,40.84755809230442,-73.93821158547597,Café
Washington Heights,40.85190252555305,-73.93690027985234,Kazza Wine Bar,40.84769385813797,-73.93862109202698,Wine Bar
Inwood,40.86768396449915,-73.92121042203897,Bocaditos Bistro,40.867118,-73.923829,Bistro
Inwood,40.86768396449915,-73.92121042203897,Guadalupe Bar and Grill,40.86733441190966,-73.92086276373738,Mexican Restaurant
Inwood,40.86768396449915,-73.92121042203897,Cafe De Broadway,40.868299986514465,-73.91892779692039,Café
Inwood,40.86768396449915,-73.92121042203897,Garden Cafe,40.868050488858266,-73.92047699521964,Café
Inwood,40.86768396449915,-73.92121042203897,Anchor Heights,40.86680693822919,-73.92050256697367,Wine Bar
Inwood,40.86768396449915,-73.92121042203897,Inwood Local,40.868032079412906,-73.92058148137625,Wine Bar
Inwood,40.86768396449915,-73.92121042203897,The Liffy II Bar,40.86904222830055,-73.91729960259804,Bar
Inwood,40.86768396449915,-73.92121042203897,Guacamole,40.869659000000006,-73.916736,Mexican Restaurant
Inwood,40.86768396449915,-73.92121042203897,Beans & Vines,40.86640788754024,-73.92482802288949,Café
Inwood,40.86768396449915,-73.92121042203897,Azteca,40.864,-73.91912427302933,Mexican Restaurant
Inwood,40.86768396449915,-73.92121042203897,Made in Mexico,40.86727537546098,-73.91708993197774,Mexican Restaurant
Inwood,40.86768396449915,-73.92121042203897,El Tina Seafood Restaurant,40.86445981289547,-73.91909750842994,Seafood Restaurant
Inwood,40.86768396449915,-73.92121042203897,Cafe Kolmaro,40.864746000000004,-73.922005,Café
Hamilton Heights,40.823604284811935,-73.94968791883366,ROKC,40.82365436586723,-73.95250628936665,Cocktail Bar
Hamilton Heights,40.823604284811935,-73.94968791883366,Cafe One,40.82213853417716,-73.94985305610274,Café
Hamilton Heights,40.823604284811935,-73.94968791883366,The Grange Bar & Eatery,40.822553515536654,-73.9495322849762,Cocktail Bar
Hamilton Heights,40.823604284811935,-73.94968791883366,Anchor Wine Bar,40.82542420173819,-73.95120392704392,Wine Bar
Hamilton Heights,40.823604284811935,-73.94968791883366,Frijolito's,40.823413,-73.952278,Mexican Restaurant
Hamilton Heights,40.823604284811935,-73.94968791883366,Oso,40.82194462624055,-73.95003838870035,Mexican Restaurant
Hamilton Heights,40.823604284811935,-73.94968791883366,Chopped Parsley,40.825910965743155,-73.94745379686356,Sushi Restaurant
Hamilton Heights,40.823604284811935,-73.94968791883366,Sugar Hill Cafe,40.82433024195042,-73.94553712335258,Café
Hamilton Heights,40.823604284811935,-73.94968791883366,Famous Fish Market,40.823647893952675,-73.9447233080864,Seafood Restaurant
Hamilton Heights,40.823604284811935,-73.94968791883366,Agave Mexican & American Grill,40.824210220509144,-73.94522172573167,Mexican Restaurant
Hamilton Heights,40.823604284811935,-73.94968791883366,Filtered Coffee,40.82199087872992,-73.94999139826207,Café
