Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Astoria,40.76850859335492,-73.91565374304234,AbuQir Seafood,40.7685767076706,-73.91116896112395,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Sabry's,40.76844624846522,-73.91126714076336,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Off The Hook,40.76720036066658,-73.91810419486981,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Viva Viva,40.76544115737148,-73.91876757144927,Mexican Restaurant
Astoria,40.76850859335492,-73.91565374304234,Sweet Afton,40.76535,-73.918983,Bar
Astoria,40.76850859335492,-73.91565374304234,Café Via Espresso,40.7686759,-73.9108511,Café
Astoria,40.76850859335492,-73.91565374304234,The Wolfhound,40.764017216784595,-73.91534133412702,Cocktail Bar
Astoria,40.76850859335492,-73.91565374304234,The Sparrow Tavern,40.772935367519025,-73.91645686322842,Bar
Astoria,40.76850859335492,-73.91565374304234,The Shady Lady,40.76544120609521,-73.91815954100994,Bar
Astoria,40.76850859335492,-73.91565374304234,Café To Go Creperie,40.76683085520095,-73.92044142362329,Café
Astoria,40.76850859335492,-73.91565374304234,Judy & Punch,40.76558788660594,-73.91878697297321,Bar
Astoria,40.76850859335492,-73.91565374304234,Dominie's,40.765688947965565,-73.91870246805206,Bar
Astoria,40.76850859335492,-73.91565374304234,Cafe Istanbul Mediterranean Restaurant and Hookah Lounge,40.766661,-73.91237000000001,Café
Astoria,40.76850859335492,-73.91565374304234,Avenue Cafe,40.765147862295024,-73.91738945143983,Café
Astoria,40.76850859335492,-73.91565374304234,Elias Corner For Fish,40.77249603316814,-73.91581513157055,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Albatross Bar,40.77004914155301,-73.9122439855205,Bar
Astoria,40.76850859335492,-73.91565374304234,Matsu Sushi,40.76558710454389,-73.91857219992431,Sushi Restaurant
Woodside,40.74634908860222,-73.90184166838284,The Beerkeeper,40.74547158055854,-73.90588553144923,Bar
Woodside,40.74634908860222,-73.90184166838284,Lucid Cafe,40.745390016710665,-73.90562137863272,Café
Woodside,40.74634908860222,-73.90184166838284,Station Bar,40.74587129817173,-73.90331977031947,Bar
Woodside,40.74634908860222,-73.90184166838284,The Starting Gate,40.74535628501331,-73.90516977781992,Bar
Jackson Heights,40.75198138007367,-73.88282109164365,Just Made 4 U,40.74963973228118,-73.88554430750861,Café
Jackson Heights,40.75198138007367,-73.88282109164365,Bocaito Cafe & Wine Bar,40.755799,-73.885737,Cocktail Bar
Jackson Heights,40.75198138007367,-73.88282109164365,Tacos Mi Mexico Lindo,40.74767666598954,-73.88239934125741,Mexican Restaurant
Jackson Heights,40.75198138007367,-73.88282109164365,Terraza 7,40.747514413850105,-73.88211709964355,Bar
Jackson Heights,40.75198138007367,-73.88282109164365,Taco Veloz,40.74803720580167,-73.88030755060078,Mexican Restaurant
Jackson Heights,40.75198138007367,-73.88282109164365,Tomo Japanese Cuisine,40.75016941828497,-73.88014969825647,Sushi Restaurant
Jackson Heights,40.75198138007367,-73.88282109164365,Hombres Lounge,40.74999519358585,-73.88081184466778,Gay Bar
Elmhurst,40.744048505122024,-73.88165622288388,Akino,40.741226196477626,-73.88126104688422,Sushi Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,China Pearl Restaurant,40.74161433851893,-73.88211455304612,Seafood Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Tacos Mi Mexico Lindo,40.74767666598954,-73.88239934125741,Mexican Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Terraza 7,40.747514413850105,-73.88211709964355,Bar
Elmhurst,40.744048505122024,-73.88165622288388,La Esquina Del Camaron Mexicano,40.74732523206776,-73.88572170259424,Mexican Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Taco Veloz,40.74803720580167,-73.88030755060078,Mexican Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Juquila Mexican Cuisine,40.747351367542066,-73.88291495257691,Mexican Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Chipotle Mexican Grill,40.746593,-73.8835323,Mexican Restaurant
Elmhurst,40.744048505122024,-73.88165622288388,Genesis Mexican Authentic Cuisine,40.743633,-73.886846,Mexican Restaurant
Howard Beach,40.65422527738487,-73.8381376460028,Lenny's Clam Bar,40.65574925807263,-73.83900434409004,Seafood Restaurant
Howard Beach,40.65422527738487,-73.8381376460028,Frenasia,40.65139991670296,-73.83746235720605,Sushi Restaurant
Howard Beach,40.65422527738487,-73.8381376460028,Chipotle Mexican Grill,40.65728692190919,-73.83981151289748,Mexican Restaurant
Corona,40.74238175015667,-73.85682497345258,Cienega Las Tlayudas de Oaxaca Mexican Cuisine,40.74372233746766,-73.85766131779098,Mexican Restaurant
Corona,40.74238175015667,-73.85682497345258,Mi Cocina,40.743654514453574,-73.85610615537817,Mexican Restaurant
Kew Gardens,40.7051790354148,-73.82981905825703,Hangar 11 Bar & Grill,40.7060786158998,-73.83144928945858,Bar
Kew Gardens,40.7051790354148,-73.82981905825703,Last Call,40.70781592013307,-73.8310427054735,Bar
Kew Gardens,40.7051790354148,-73.82981905825703,Roast N Co,40.70954,-73.83037,Café
Flushing,40.76445419697846,-73.83177300329582,Shaking Crab,40.76083858953649,-73.83290496088568,Seafood Restaurant
Flushing,40.76445419697846,-73.83177300329582,Sushi Family,40.76414470829056,-73.82816286139875,Sushi Restaurant
Flushing,40.76445419697846,-73.83177300329582,Moon Café,40.76319647608123,-73.83083471603518,Café
Flushing,40.76445419697846,-73.83177300329582,Dynamite Seafood,40.765656,-73.83324,Seafood Restaurant
Long Island City,40.75021734610528,-73.93920223915505,Waheyo,40.749947091373215,-73.93942677841457,Mexican Restaurant
Long Island City,40.75021734610528,-73.93920223915505,Dutch Kills,40.74783043428339,-73.94010843485533,Cocktail Bar
Long Island City,40.75021734610528,-73.93920223915505,The Beast Next Door Cafe & Bar,40.74892560515553,-73.94166005726373,Bar
Long Island City,40.75021734610528,-73.93920223915505,M. Wells Steakhouse,40.74839103721746,-73.94233553952344,Steakhouse
Long Island City,40.75021734610528,-73.93920223915505,The Huntress Whiskey n' Wings,40.75263238131445,-73.93984840880552,Bar
Long Island City,40.75021734610528,-73.93920223915505,Chipotle Mexican Grill,40.747227491157524,-73.94164881692888,Mexican Restaurant
Long Island City,40.75021734610528,-73.93920223915505,RESOBOX,40.75103691709408,-73.93910170039331,Café
Long Island City,40.75021734610528,-73.93920223915505,Caffeina Espresso Bar,40.74883614017126,-73.94443542088034,Café
Long Island City,40.75021734610528,-73.93920223915505,Sapps,40.747957445244545,-73.93995806442221,Bar
